Id,Name,StockQuantity,Description,Review,PurchasePrice,RetailPrice,Markup,TotalPurchaseValue,TotalRetailValue,SoldQuantity,TotalQuantity,Location,Labels,Tags,UpdatedOn
1,Accelerator Cable GLI,6,"This is a Test  Description, for every item in the list.",,800,1600,100.00%,4800,9600,0,6,#9,,,1/18/2025
2,degi shak shock mix,5,"This is a Test  Description, for every item in the list.",,800,1600,50.00%,4000,8000,0,5,#9,,,1/18/2025
3,clipper pin g corolla vitz,4,"This is a Test  Description, for every item in the list.",,300,600,50.00%,1200,2400,0,4,#9,,,1/18/2025
4,string cross corolla 96,2,"This is a Test  Description, for every item in the list.",,600,1000,40.00%,1200,2000,0,2,b3,GMG comp,,1/18/2025
5,silencer cable g corolla,2,"This is a Test  Description, for every item in the list.",,350,400,12.50%,700,800,0,2,,,,1/18/2025
6,AC pipe mix,4,"This is a Test  Description, for every item in the list.",,300,600,50.00%,1200,2400,0,4,m5,,,1/18/2025
7,Takhat 96 corolla,1,"This is a Test  Description, for every item in the list.",,2000,3500,42.86%,2000,3500,0,1,,,,1/18/2025
8,Axel laitace,1,"This is a Test  Description, for every item in the list.",,2500,6000,58.33%,2500,6000,0,1,#9,,,1/18/2025
9,Power Pipe TZ dm,2,"This is a Test  Description, for every item in the list.",,1500,3000,50.00%,3000,6000,0,2,#9,,,1/18/2025
10,XLI clipper Boot,6,"This is a Test  Description, for every item in the list.",,150,200,25.00%,900,1200,0,6,,,,1/18/2025
11,Z link GLI,1,"This is a Test  Description, for every item in the list.",,1400,2000,30.00%,1400,2000,0,1,,,,1/18/2025
12,"Ishara Bati, indicator 3 door",1,"This is a Test  Description, for every item in the list.",,3000,5500,45.45%,3000,5500,0,1,,,,1/18/2025
13,Battery Bracket 3 door,1,"This is a Test  Description, for every item in the list.",,1000,1500,33.33%,1000,1500,0,1,k3,,,1/18/2025
14,Exlator chapa 3 door,1,"This is a Test  Description, for every item in the list.",,3000,5000,40.00%,3000,5000,0,1,,,,1/18/2025
15,speed meter 3 door,1,"This is a Test  Description, for every item in the list.",,5000,8000,37.50%,5000,8000,0,1,a4,,,1/18/2025
16,plug,5,"This is a Test  Description, for every item in the list.",,1800,3200,43.75%,9000,16000,0,5,,,,1/18/2025
17,"plug toyota, TZ double nook",41,"This is a Test  Description, for every item in the list.","toyta 29, tz 8",2500,3000,16.67%,102500,123000,0,41,a4,,,1/18/2025
18,Iridium Plug,2,"This is a Test  Description, for every item in the list.",8 pc,2500,4000,37.50%,5000,8000,0,2,,,,1/18/2025
19,super hg plug,3,"This is a Test  Description, for every item in the list.",11 pc,2500,4000,37.50%,7500,12000,0,3,a5,,,1/18/2025
20,distubeter qaile,2,"This is a Test  Description, for every item in the list.",,1800,2500,28.00%,3600,5000,0,2,,,,1/18/2025
21,fuel motor org company,1,"This is a Test  Description, for every item in the list.",,4000,6000,33.33%,4000,6000,0,1,b4,,,1/18/2025
22,Denso,3,"This is a Test  Description, for every item in the list.",,3000,5000,40.00%,9000,15000,0,3,a5,,,1/18/2025
23,cable clutch cylinder 3 door,2,"This is a Test  Description, for every item in the list.",,2000,3500,42.86%,4000,7000,0,2,a5,,,1/18/2025
24,sonk vitz dm,1,"This is a Test  Description, for every item in the list.",,3000,4500,33.33%,3000,4500,0,1,,,,1/18/2025
25,goda vitz upmd,2,"This is a Test  Description, for every item in the list.",,5300,8000,33.75%,10600,16000,0,2,b5,,,1/18/2025
26,break cylinder g corolla,1,"This is a Test  Description, for every item in the list.",,3500,7000,50.00%,3500,7000,0,1,b5,,,1/18/2025
27,water body gli,2,"This is a Test  Description, for every item in the list.",,3500,5000,30.00%,7000,10000,0,2,b5,,,1/18/2025
28,goda petrol salon 23,1,"This is a Test  Description, for every item in the list.",,3500,5500,36.36%,3500,5500,0,1,,,,1/18/2025
29,water body 3l,1,"This is a Test  Description, for every item in the list.",,5000,9500,47.37%,5000,9500,0,1,,,,1/18/2025
